Pid,Context,Qid,Question,Answer,Answers
,,4.3,What concerns arise regarding memory management with the functional approach?,Concerns regarding memory management arise because creating lots of new stacks in a program can have obvious memory management implications.,
,,4.4,How does the practical approach differ from the functional approach in implementing stacks?,"In the practical approach, a single stack is destructively changed, so after applying push, the original stack no longer exists but has been changed into a new stack with an extra element. This means that applying top to a given stack may give different answers depending on how the state of the system has changed.",
5.0,"A queue is a data structure used to model a First-In-First-Out (FIFO) strategy. Conceptually, we add to the end of a queue and take away elements from its front. A queue can be graphically represented in a similar way to a list or stack, but with an additional two-cell in which the first element points to the front of the list of all the elements in the queue, and the second element points to the last element of the list.",5.1,How is a queue used to model data?,"A queue is used to model a First-In-First-Out (FIFO) strategy, where elements are added to the end of the queue and taken away from its front.",
,,5.2,How is a queue graphically represented?,"A queue can be graphically represented similarly to a list or stack, with an additional two cells. The first cell points to the front of the list of all elements in the queue, and the second cell points to the last element of the list.",
,,5.3,What is the fundamental principle behind how elements are processed in a queue?,The fundamental principle behind how elements are processed in a queue is that the first element added to the queue (the front) is the first one to be removed.,
,,5.4,How does a queue differ from a stack in terms of data processing strategy?,"A queue follows a First-In-First-Out (FIFO) strategy, where the first element added is the first one to be removed, while a stack follows a Last-In-First-Out (LIFO) strategy, where the last element added is the first one to be removed.",
6.0,"Clearly, the information to be searched has to first be represented (or encoded) somehow.This is where data structures come in. Of course, in a computer, everything is ultimately represented as sequences of binary digits (bits), but this is too low level for most purposes. We need to develop and study useful data structures that are closer to the way humans think,or at least more structured than mere sequences of bits. This is because it is humans who have to develop and maintain the software systems ÃÂÃÂÃÂÃÂ computers merely run them. After we have chosen a suitable representation, the represented information has to be processed somehow. This is what leads to the need for algorithms. In this case, the process of interest is that of searching. In order to simplify matters, let us assume that we want to search a collection of integer numbers (though we could equally well deal with strings of characters, or any other data type of interest).",6.1,Why are data structures necessary in computing?,"Data structures are necessary in computing because they provide a way to represent and organize information in a structured manner that is closer to human thinking, making it easier for humans to develop and maintain software systems.",
,,6.2,How are data structures related to the way humans think?,"Data structures are related to the way humans think because they provide more structured representations of information than mere sequences of bits, making it easier for humans to work with and understand.",
,,6.3,What is the role of algorithms in processing represented information?,"Algorithms are used to process represented information. In the context of searching, algorithms are particularly important for carrying out the search process efficiently.",
,,6.4,What is assumed in the context of simplifying the search process?,"In simplifying the search process, it is assumed that the collection being searched consists of integer numbers. However, the same principles could apply to other data types such as strings of characters or any other data type of interest.",
7.0,"We can now formulate a specification of our search problem using that data structure: Given an array a and integer x, find an integer i such that 1. if there is no j such that a[j] is x, then i is ?1, 2. otherwise, i is any j for which a[j] is x. The first clause says that if x does not occur in the array a then i should be ?1, and the second says that if it does occur then i should be a position where it occurs. If there is more than one position where x occurs, then this specification allows you to return any of them ÃÂÃÂÃÂÃÂ for example, this would be the case if a were [17, 13, 17] and x were 17. Thus, the specification is ambiguous. Hence different algorithms with different behaviours can satisfy the same specification ÃÂÃÂÃÂÃÂ for example, one algorithm may return the smallest position at which x occurs, and another may return the largest. There is nothing wrong with ambiguous specifications. In fact, in practice, they occur quite often.",7.1,What is the specification of the search problem described in the text?,"The specification requires finding an integer i such that if there is no index j in the array a where a[j] equals x, then i should be -1. Otherwise, i can be any index j where a[j] equals x.",
,,7.2,How does the specification handle cases where x occurs multiple times in the array?,"If x occurs multiple times in the array, the specification allows for returning any of the positions where x occurs. For example, if a = [17, 13, 17] and x = 17, any position where 17 occurs is valid.",
,,7.3,What is mentioned regarding the ambiguity of the specification?,"The specification is noted to be ambiguous because it allows for different algorithms with different behaviors to satisfy it. For instance, one algorithm may return the smallest position where x occurs, while another may return the largest.",
,,7.4,Why are ambiguous specifications not necessarily problematic?,"Ambiguous specifications are not necessarily problematic because they can accommodate different approaches and behaviors, allowing for flexibility in algorithm design. In practice, ambiguous specifications are common.",
8.0,"One always needs to consider whether it is possible to improve upon the performance of a particular algorithm, such as the one we have just created. In the worst case, searching an array of size n takes n steps. On average, it will take n/2 steps. For large collections of data, such as all web-pages on the internet, this will be unacceptable in practice. Thus, we should try to organize the collection in such a way that a more efficient algorithm is possible. As we shall see later, there are many possibilities, and the more we demand in terms of efficiency, the more complicated the data structures representing the collections tend to become. Here we shall consider one of the simplest ÃÂÃÂÃÂÃÂ we still represent the collections by arrays, but now we enumerate the elements in ascending order. The problem of obtaining an ordered list from any given list is known as sorting and will be studied in detail in a later chapter.",8.1,What is the potential issue with the performance of the search algorithm described?,"The potential issue with the performance of the search algorithm is that in the worst case, searching an array of size n takes n steps, and on average, it will take n/2 steps. This can be unacceptable for large collections of data, such as all web pages on the internet.",
,,8.2,What approach is suggested to improve the efficiency of searching large collections of data?,"To improve the efficiency of searching large collections of data, it is suggested to organize the collection in such a way that a more efficient algorithm is possible. This might involve using more complicated data structures.",
,,8.3,What is one of the simplest ways to organize collections to facilitate more efficient searching?,"One of the simplest ways to organize collections to facilitate more efficient searching is to represent the collections by arrays in ascending order, effectively creating an ordered list.",
,,8.4,How does the complexity of data structures tend to change as demands for efficiency increase?,"As demands for efficiency increase, the complexity of data structures representing collections tends to increase.",
9.0,"It is worth considering whether linked-list versions of our two algorithms would work, or offer any advantages. It is fairly clear that we could perform a linear search through a linked list in essentially the same way as with an array, with the relevant pointer returned rather than an index. Converting the binary search to linked list form is problematic, because there is no efficient way to split a linked list into two segments. It seems that our array-based approach is the best we can do with the data structures we have studied so far. However, we shall see later how more complex data structures (trees) can be used to formulate efficient recursive search algorithms. Notice that we have not yet taken into account how much effort will be required to sort the array so that the binary search algorithm can work on it. Until we know that, we cannot be sure that using the binary search algorithm really is more efficient overall than using the linear search algorithm on the original unsorted array. That may also depend on further details, such as how many times we need to performa a search on the set of n items ÃÂÃÂÃÂÃÂ just once, or as many as n times. We shall return to these issues later. First we need to consider in more detail how to compare algorithm efficiency in a reliable manner.",9.1,What is the feasibility of using linked lists for linear search compared to arrays?,"Linked lists can be used for linear search essentially in the same way as with arrays, with the relevant pointer returned rather than an index.",
,,9.2,Why is converting the binary search algorithm to linked list form problematic?,"Converting the binary search algorithm to linked list form is problematic because there is no efficient way to split a linked list into two segments, which is essential for the binary search algorithm.",
,,9.3,What data structure seems to be the best option for implementing the algorithms discussed?,"The array-based approach seems to be the best option for implementing the algorithms discussed, given the data structures studied so far.",
,,9.4,What additional factor must be considered to determine the overall efficiency of using the binary search algorithm? A: To determine the overall efficiency of ,"To determine the overall efficiency of using the binary search algorithm, the effort required to sort the array must be taken into account. Without knowing this, it's uncertain whether binary search is truly more efficient than linear search on the original unsorted array. Additionally, factors such as the number of searches performed on the set of n items also play a role.",
10.0,"When creating software for serious applications, there is usually a need to judge how quickly an algorithm or program can complete the given tasks. For example, if you are programming a flight booking system, it will not be considered acceptable if the travel agent and customer have to wait for half an hour for a transaction to complete. It certainly has to be ensured that the waiting time is reasonable for the size of the problem, and normally faster execution is better. We talk about the time complexity of the algorithm as an indicator of how the execution time depends on the size of the data structure. Another important efficiency consideration is how much memory a given program will require for a particular task, though with modern computers this tends to be less of an issue than it used to be. Here we talk about the space complexity as how the memory requirement depends on the size of the data structure. For a given task, there are often algorithms which trade time for space, and vice versa. For example, we will see that, as a data storage device, hash tables have a very good time complexity at the expense of using more memory than is needed by other algorithms. It is usually up to the algorithm/program designer to decide how best to balance the trade-off for the application they are designing.",10.1,Why is it important to consider the time complexity of algorithms in serious software applications?,"It is important to consider the time complexity of algorithms in serious software applications to ensure that tasks can be completed within a reasonable timeframe. Faster execution is generally preferred, especially in applications like flight booking systems, where customers expect quick transaction completion.",
,,10.2,"What is space complexity, and why is it also an important consideration in software development?","Space complexity refers to how the memory requirement of a program depends on the size of the data structure. It is an important consideration in software development because it affects how efficiently memory is utilized, although with modern computers, memory constraints are less of an issue than they used to be.",
,,10.3,What trade-offs are often encountered when designing algorithms?,"When designing algorithms, there are often trade-offs between time and space complexity. Some algorithms prioritize faster execution (lower time complexity) at the expense of using more memory (higher space complexity), while others prioritize minimizing memory usage at the expense of longer execution times.",
,,10.4,How do hash tables exemplify the trade-off between time and space complexity?,Hash tables typically have very good time complexity for tasks such as data retrieval but use more memory than other algorithms. This trade-off allows for faster execution at the expense of higher memory usage.,
11.0,"Clearly, the information to be searched has to first be represented (or encoded) somehow. This is where data structures come in. Of course, in a computer, everything is ultimately represented as sequences of binary digits (bits), but this is too low level for most purposes. We need to develop and study useful data structures that are closer to the way humans think, or at least more structured than mere sequences of bits. This is because it is humans who have to develop and maintain the software systems ÃÂÃÂÃÂÃÂ computers merely run them. After we have chosen a suitable representation, the represented information has to be processed somehow. This is what leads to the need for algorithms. In this case, the process of interest is that of searching. In order to simplify matters, let us assume that we want to search a collection of integer numbers (though we could equally well deal with strings of characters, or any other data type of interest). To begin with, let us consider: 1. The most obvious and simple representation. 2. Two potential algorithms for processing with that representation. As we have already noted, arrays are one of the simplest possible ways of representing collections of numbers (or strings, or whatever), so we shall use that to store the information to be searched. Later we shall look at more complex data structures that may make storing and searching more efficient.",11.1,Why is it necessary to develop and study useful data structures?,"It is necessary to develop and study useful data structures because they provide representations of information that are closer to the way humans think, making it easier to develop and maintain software systems.",
,,11.2,How are data structures related to algorithms?,"Data structures are related to algorithms because once information is represented using a data structure, algorithms are needed to process that information. In the case of searching, algorithms are used to find specific elements within the represented data.",
,,11.3,What is the focus of the current discussion regarding searching?,"The current discussion regarding searching focuses on the representation of information and the algorithms used to process that information. Specifically, the discussion assumes that we want to search a collection of integer numbers, though the principles can apply to other data types as well.",
,,11.4,Why are arrays considered one of the simplest possible ways of representing collections of data?,"Arrays are considered one of the simplest possible ways of representing collections of data because they provide a straightforward means of storing elements in a linear sequence, making them easy to understand and manipulate.",
12.0,"One always needs to consider whether it is possible to improve upon the performance of a particular algorithm, such as the one we have just created. In the worst case, searching an array of size n takes n steps. On average, it will take n/2 steps. For large collections of data, such as all web-pages on the internet, this will be unacceptable in practice. Thus, we should try to organize the collection in such a way that a more efficient algorithm is possible. As we shall see later, there are many possibilities, and the more we demand in terms of efficiency, the more complicated the data structures representing the collections tend to become. Here we shall consider one of the simplest ÃÂÃÂÃÂÃÂ we still represent the collections by arrays, but now we enumerate the elements in ascending order. The problem of obtaining an ordered list from any given list is known as sorting and will be studied in detail in a later chapter.",12.1,What are the performance considerations when evaluating algorithms? ,"When evaluating algorithms, it's important to consider performance factors such as the worst-case and average-case time complexity. For example, in the worst case, searching an array of size n takes n steps, while on average, it takes n/2 steps.",
,,12.2,Why might the performance of the algorithm described be unacceptable for large collections of data?,"The performance of the algorithm described may be unacceptable for large collections of data, such as all web pages on the internet, because it could take a significant amount of time to search through the entire collection, especially in the worst case.",
,,12.3,What strategy is suggested to improve the efficiency of searching large collections of data?,"To improve the efficiency of searching large collections of data, it is suggested to organize the collection in ascending order, effectively creating an ordered list. This approach requires sorting the elements, which is known as sorting.",
,,12.4,What is the problem of obtaining an ordered list from a given list known as?,"The problem of obtaining an ordered list from a given list is known as sorting, which will be studied in detail in a later chapter.",
13.0,"With the binary search algorithm, it is not so obvious that we have taken proper care of the boundary condition in the while loop. Also, strictly speaking, this algorithm is not correct because it does not work for the empty array (that has size zero), but that can easily be fixed. Apart from that, is it correct? Try to convince yourself that it is, and then try to explain your argument-for-correctness to a colleague. Having done that, try to write down some convincing arguments, maybe one that involves a loop invariant and one that doesnÃÂÃÂÃÂÃÂt. Most algorithm developers stop at the first stage, but experience shows that it is only when we attempt to write down seemingly convincing arguments that we actually find all the subtle mistakes. Moreover, it is not unusual to end up with a better/clearer algorithm after it has been modified to make its correctness easier to argue.",13.1,Why is it important to consider boundary conditions when implementing algorithms like binary search?,"It's important to consider boundary conditions to ensure that the algorithm behaves correctly in all scenarios, including edge cases like an empty array.",
,,13.2,What is the significance of having a loop invariant in algorithm design?,A loop invariant helps ensure that the algorithm maintains correctness throughout its execution by defining a property that remains true at the beginning and end of each iteration of a loop.,
,,13.3,How does the binary search algorithm narrow down the search space in each iteration?,The binary search algorithm narrows down the search space by comparing the target element with the middle element of the current subarray and adjusting the search range accordingly based on whether the target is greater or less than the middle element.,
,,13.4,What potential improvements can come from carefully articulating arguments for algorithm correctness?,"Carefully articulating arguments for algorithm correctness can help identify subtle mistakes and refine the algorithm for improved clarity and robustness. Additionally, it may lead to a better understanding of the algorithm's behavior and potential optimizations.",
14.0,"It is worth considering whether linked-list versions of our two algorithms would work, or offer any advantages. It is fairly clear that we could perform a linear search through a linked list in essentially the same way as with an array, with the relevant pointer returned rather than an index. Converting the binary search to linked list form is problematic, because there is no efficient way to split a linked list into two segments. It seems that our array-based approach is the best we can do with the data structures we have studied so far. However, we shall see later how more complex data structures (trees) can be used to formulate efficient recursive search algorithms.",14.1,What advantage does a linked list offer for performing a linear search compared to an array?,"A linked list allows for performing a linear search in essentially the same way as with an array, with the relevant pointer returned rather than an index.",
,,14.2,Why is converting the binary search algorithm to linked list form problematic? ,"Converting the binary search algorithm to linked list form is problematic because there is no efficient way to split a linked list into two segments, which is essential for the binary search algorithm's operation.",
,,14.3,"Based on the information provided, which data structure is deemed more suitable for implementing the search algorithms discussed?","Based on the limitations outlined, it appears that the array-based approach is the most suitable for implementing the search algorithms discussed, given the data structures studied so far.",
,,14.4,What potential data structure is mentioned as a possibility for formulating efficient recursive search algorithms?,"Trees are mentioned as a potential data structure that can be used to formulate efficient recursive search algorithms, providing a more complex but versatile alternative to arrays and linked lists.",
15.0,"When creating software for serious applications, there is usually a need to judge how quickly an algorithm or program can complete the given tasks. For example, if you are programming a flight booking system, it will not be considered acceptable if the travel agent and customer have to wait for half an hour for a transaction to complete. It certainly has to be ensured that the waiting time is reasonable for the size of the problem, and normally faster execution is better. We talk about the time complexity of the algorithm as an indicator of how the execution time depends on the size of the data structure. Another important efficiency consideration is how much memory a given program will require for a particular task, though with modern computers this tends to be less of an issue than it used to be. Here we talk about the space complexity as how the memory requirement depends on the size of the data structure",15.1,What is time complexity?,Time complexity refers to how the execution time of an algorithm grows with respect to the size of the input.,
,,15.2,Why is time complexity important in software development?,Time complexity is important because it helps developers understand how efficient an algorithm is and whether it will perform adequately for a given problem size.,
,,15.3,Define space complexity.,Space complexity is the amount of memory required by an algorithm to solve a problem as a function of the size of the input.,
,,15.4,How has modern computing affected the significance of memory usage?,"Modern computing has reduced the significance of memory usage due to advancements in hardware technology, such as increased RAM capacity and improved memory management techniques.",
16.0,"Another thing that has to be decided when making efficiency considerations is whether it is the average case performance of an algorithm/program that is important, or whether it is more important to guarantee that even in the worst case the performance obeys certain rules. For many applications, the average case is more important, because saving time overall is usually more important than guaranteeing good behaviour in the worst case. However, for time-critical problems, such as keeping track of aeroplanes in certain sectors of air space, it may be totally unacceptable for the software to take too long if the worst case arises. 25 Again, algorithms/programs often trade-off efficiency of the average case against efficiency of the worst case. For example, the most efficient algorithm on average might have a particularly bad worst case efficiency. We will see particular examples of this when we consider efficient algorithms for sorting and searching.",16.1,What must be considered regarding efficiency when developing software?,"When developing software, it's important to consider whether the average case performance or worst-case performance of an algorithm/program is more important.",
,,16.2,Why is average case performance often prioritized in software development?,Average case performance is often prioritized because saving time overall is usually more important than guaranteeing good behavior in the worst case.,
,,16.3,In what scenarios is worst-case performance crucial?,"Worst-case performance is crucial in time-critical problems where it's unacceptable for the software to take too long to execute, such as in situations like keeping track of airplanes in certain sectors of airspace.",
,,16.4,How do algorithms and programs typically balance efficiency considerations between the average case and worst case?,"Algorithms and programs often trade off efficiency of the average case against efficiency of the worst case. For example, the most efficient algorithm on average might have a particularly bad worst-case efficiency, which is commonly observed in algorithms for sorting and searching.",
17.0,"These days, we are mostly interested in time complexity. For this, we first have to decide how to measure it. Something one might try to do is to just implement the algorithm and run it, and see how long it takes to run, but that approach has a number of problems. For one, if it is a big application and there are several potential algorithms, they would all have to be programmed first before they can be compared. So a considerable amount of time would be wasted on writing programs which will not get used in the final product. Also, the machine on which the program is run, or even the compiler used, might influence the running time. You would also have to make sure that the data with which you tested your program is typical for the application it is created for. Again, particularly with big applications, this is not really feasible. This empirical method has another disadvantage: it will not tell you anything useful about the next time you are considering a similar problem",17.1,What is the primary focus when evaluating algorithm efficiency these days?,Time complexity.,
,,17.2,What are some limitations of the empirical approach to evaluating algorithms?,"It requires programming all potential algorithms, runtime measurements can be influenced by various factors, and ensuring representative test data can be challenging.",
,,17.3,Why might it be difficult to ensure that the test data used for a program is representative of the application it's created for?,"Obtaining truly representative test data can be challenging, especially for large applications.",
,,17.4,What disadvantage does the empirical method have regarding future applications?,It does not provide useful insights for future applications of similar problems.,
18.0,"What we need to do to determine the time complexity of an algorithm is count the number of times each operation will occur, which will usually depend on the size of the problem. The size of a problem is typically expressed as an integer, and that is typically the number of items that are manipulated. For example, when describing a search algorithm, it is the number of items amongst which we are searching, and when describing a sorting algorithm, it is the number of items to be sorted. So the complexity of an algorithm will be given by a function which maps the number of items to the (usually approximate) number of time steps the algorithm will take when performed on that many items.",18.1,How do we determine the time complexity of an algorithm?,"We count the number of times each operation will occur, typically depending on the size of the problem.",
,,18.2,How is the size of a problem typically expressed?,"The size of a problem is typically expressed as an integer, representing the number of items manipulated by the algorithm.",
,,18.3,Can you provide examples of what the size of a problem might represent in different algorithms?,"In a search algorithm, the size of the problem represents the number of items being searched, while in a sorting algorithm, it represents the number of items to be sorted.",
,,18.4,How is the complexity of an algorithm represented?,The complexity of an algorithm is represented by a function that maps the number of items to the approximate number of time steps the algorithm will take when performed on that many items.,
19.0,"If an algorithm is such that we may consider all steps equally costly, then usually the complexity class of the algorithm is simply determined by the number of loops and how often the content of those loops are being executed. The reason for this is that adding a constant number of instructions which does not change with the size of the problem has no significant effect on the overall complexity for large problems. There is a standard notation, called the Big-O notation, for expressing the fact that constant factors and other insignificant details are being ignored. For example, we saw that the procedure last(l) on a list l had time complexity that depended linearly on the size n of the list, so we would say that the time complexity of that algorithm is O(n). Similarly, linear search is O(n). For binary search, however, the time complexity is O(log2 n).",19.1,How is the complexity class of an algorithm determined?,The complexity class of an algorithm is determined by the number of loops and how often the content of those loops are executed.,
,,19.2,What is Big-O notation used for?,Big-O notation is used to express the fact that constant factors and other insignificant details are being ignored when analyzing the time complexity of algorithms.,
,,19.3,What is the time complexity of linear search?,"he time complexity of linear search is O(n), where n is the size of the input.",
,,19.4,How is the time complexity of binary search expressed in Big-O notation?,"The time complexity of binary search is expressed as O(log2 n), indicating logarithmic growth with the size n of the input.",
20.0,"In computer science, a tree is a very general and powerful data structure that resembles a real tree. It consists of an ordered set of linked nodes in a connected graph, in which each node has at most one parent node, and zero or more children nodes with a specific order.",20.1,What does a tree data structure resemble?,"A tree data structure resembles a real tree, with nodes representing branches and connections between nodes representing the branches of the tree.",
,,20.2,What is the key characteristic of the relationship between nodes in a tree?,"The key characteristic is that each node can have at most one parent node, and zero or more children nodes with a specific order.",
,,20.3,What makes trees a powerful data structure?,"Trees are powerful data structures due to their hierarchical nature, which allows for efficient organization and manipulation of data.",
21.0,"A path is a sequence of connected edges from one node to another. Trees have the property that for every node there is a unique path connecting it with the root. In fact, that is another possible definition of a tree. The depth or level of a node is given by the length of this path. Hence the root has level 0, its children have level 1, and so on. The maximal length of a path in a tree is also called the height of the tree. A path of maximal length always goes from the root to a leaf. The size of a tree is given by the number of nodes it contains. We shall normally assume that every tree is finite, though generally that need not be the case. The tree in Figure 6.1 has height 3 and size 11. A tree consisting of just of one node has height 0 and size 1. The empty tree obviously has size 0 and is defined (conveniently, though somewhat artificially) to have height ?1.",21.1,What is a path in a tree?,A path in a tree is a sequence of connected edges from one node to another.,
,,21.2,How do trees ensure a unique path for every node connecting it to the root?,"Trees ensure a unique path for every node connecting it to the root, which is a defining property of trees.",
,,21.3,How is the depth or level of a node defined in a tree?,"The depth or level of a node is defined by the length of the path from the root to that node. The root node has level 0, its children have level 1, and so on.",
,,21.4,How is the size of a tree defined?,The size of a tree is given by the number of nodes it contains.,
22.0,"A quadtree is a particular type of tree in which each leaf-node is labelled by a value and each non-leaf node has exactly four children. It is used most often to partition a two dimensional space (e.g., a pixelated image) by recursively dividing it into four quadrants.",22.1,What is a quadtree?,"A quadtree is a type of tree where each leaf node is labeled by a value, and each non-leaf node has exactly four children.",
,,22.2,How is a quadtree commonly used?,"A quadtree is commonly used to partition a two-dimensional space, such as a pixelated image, by recursively dividing it into four quadrants.",
,,22.3,What is the defining characteristic of a leaf node in a quadtree?,The defining characteristic of a leaf node in a quadtree is that it is labeled by a value.,
,,22.4,How many children does a non-leaf node have in a quadtree?,"A non-leaf node in a quadtree has exactly four children, corresponding to the four quadrants of the space being partitioned.",
23.0,"Binary trees are the most common type of tree used in computer science. A binary tree is a tree in which every node has at most two children, and can be defined ÃÂÃÂÃÂÃÂinductivelyÃÂÃÂÃÂÃÂ by the following rules: 33 Definition. A binary tree is either (Rule 1) the empty tree EmptyTree, or (Rule 2) it consists of a node and two binary trees, the left subtree and right subtree.",23.1,What is a binary tree?,A binary tree is a type of tree in computer science where every node has at most two children.,
,,23.2,How is a binary tree defined?,"The empty tree, EmptyTree.A node with two binary trees as its left and right subtrees.",
,,23.3,What is the defining characteristic of a binary tree?,he defining characteristic of a binary tree is that every node has at most two children.,
,,23.4,How are the left and right subtrees of a node represented in a binary tree?,The left and right subtrees of a node in a binary tree are themselves binary trees.,
24.0,"You can imagine that the (infinite) collection of (finite) trees is created in a sequence of days. Day 0 is when you ÃÂÃÂÃÂÃÂget off the groundÃÂÃÂÃÂÃÂ by applying Rule 1 to get the empty tree. On later days, you are allowed to use any trees that you have created on earlier days to construct new trees using Rule 2. Thus, for example, on day 1 you can create exactly trees that have a root with a value, but no children (i.e. both the left and right subtrees are the empty tree, created at day 0). On day 2 you can use a new node with value, with the empty tree and/or the one-node tree, to create more trees. Thus, binary trees are the objects created by the above two rules in a finite number of steps. The height of a tree, defined above, is the number of days it takes to create it using the above two rules, where we assume that only one rule is used per day, as we have just discussed. (Exercise: work out the sequence of steps needed to create the tree in Figure 6.1 and hence prove that it is in fact a binary tree.)",24.1,How is the collection of trees created each day?,It starts with the empty tree on Day 0 and new trees are constructed using existing ones on subsequent days.,
,,24.2,What happens on Day 0 of tree creation?,The empty tree is generated.,
,,24.3,How are new trees created after Day 0?,By combining existing trees according to Rule 2.,
25.0,"It just says that if we break apart a non-empty tree and use the pieces to build a new tree, then we get an identical tree back. It is worth emphasizing that the above specifications of quad-trees and binary trees are further examples of abstract data types: Data types for which we exhibit the constructors and destructors and describe their behaviour (using equations such as defined above for lists, stacks, queues, quad-trees and binary trees), but for which we explicitly hide the implementational details. The concrete data type used in an implementation is called a data structure. For example, the usual data structures used to implement the list and tree data types are records and pointers ÃÂÃÂÃÂÃÂ but other implementations are possible.",25.1,What does the statement imply about breaking apart a non-empty tree and building a new tree with its pieces?,It suggests that constructing a new tree using parts of an existing non-empty tree results in an identical tree.,
,,25.2,What are quad-trees and binary trees examples of?,They are examples of abstract data types.,
,,25.3,How are abstract data types characterized?,They are characterized by exhibiting constructors and destructors and describing their behavior while hiding implementation details.,
,,25.4,What is the concrete data type used in an implementation called?,It is called a data structure.,
26.0,"Binary trees donÃÂÃÂÃÂÃÂt have a simple relation between their size n and height h. The maximum height of a binary tree with n nodes is (n ? 1), which happens when all non-leaf nodes have precisely one child, forming something that looks like a chain. On the other hand, suppose we have n nodes and want to build from them a binary tree with minimal height. We can achieve this by ÃÂÃÂÃÂÃÂfillingÃÂÃÂÃÂÃÂ each successive level in turn, starting from the root. It does not matter where we place the nodes on the last (bottom) level of the tree, as long as we donÃÂÃÂÃÂÃÂt start adding to the next level before the previous level is full. Terminology varies, but we shall say that such trees are perfectly balanced or height balanced, and we shall see later why they are optimal for many of our purposes. Basically, if done appropriately, many important tree-based operations (such as searching) take as many steps as the height of the tree, so minimizing the height minimizes the time needed to perform those operations.",26.1,What is the maximum height of a binary tree with n nodes?,"The maximum height is (n - 1), occurring when all non-leaf nodes have exactly one child, resembling a chain.",
,,26.2,How can a binary tree with minimal height be constructed from n nodes?,"By filling each successive level in turn from the root, without starting to add nodes to the next level until the previous level is full.",
,,26.3,What term is used to describe binary trees constructed in this way?,Such trees are called perfectly balanced or height balanced trees.,
,,26.4,Why are perfectly balanced trees considered optimal for many purposes?,"Many important tree-based operations, like searching, take as many steps as the height of the tree, thus minimizing the height minimizes the time needed to perform those operations.",
27.0,"Usually a binary tree will not be perfectly balanced, so we will need an algorithm to determine its size, i.e. the number of nodes it contains. This is easy if we use recursion. The terminating case is very simple: the empty tree has size 0. Otherwise, any binary tree will always be assembled from a root node, a left sub-tree l, and a right sub-tree r, and its size will be the sum of the sizes of its components, i.e. 1 for the root, plus the size of l, plus the size of r. We have already defined the primitive operator isEmpty(t) to check whether a binary tree t is empty, and the selectors left(t) and right(t) which return the left and right sub-trees of binary tree t.",27.1,How can the size of a binary tree be determined?,By recursively counting the number of nodes it contains.,
